"","X","Amplitude_ID","Merged_ID","Total_Events","Total_Sessions","Usage_Time","First_Seen","Last_Seen","Num_Purchases","Total_Spent","amplitude_id","user_id","carrier","city","country","device","device_type","dma","ip_address","language","library","os","paying","platform","region","start_version","version","gp.Active.Projects","gp.Collected.Daily.Artwork","gp.Push.Enabled","gp.camera_permission","gp.camera_roll_count","gp.daily_artwork_count","gp.photos_permission","gp.project_count","gp.push_enabled"
"1396","V2962",7739979297,"","172","5","35 minutes","Jul 2nd, 2016 (UTC)","Jul 2nd, 2016 (UTC)","0","$0.00",7739979297,"CloudKit-793bca32d5bc9ff21a31bc356ceccc5fed73328a1a3e8a818e77a4aa35a896cb5988649de4c44f80a17e92802e6f709ecb320570edc1ba161f3891f0b1ec9612","Turkcell","Ankara","Turkey","Apple iPhone","Apple iPhone 6","","95.5.73.150","Turkish","amplitude-ios/3.8.1","ios 9.3.2","","iOS","Ankara","3.4.0","3.4.0",NA,NA,"","false",220,0,"true",6,"false"
"1397","V2963",5942382126,"","218","7","15 minutes","May 3rd, 2016 (UTC)","Jul 4th, 2016 (UTC)","0","$0.00",5942382126,"CloudKit-a0ed6cae96164ebd4ef1943a3760d2602f5b90f70faf69a95837954ee9b20d7d8a5673d75166727add547a73e21840e5c44725b64e80946c486f3aafade72912","AT&T","Lebanon","United States","Apple iPhone","Apple iPhone 6s Plus","New York, NY","98.221.201.6","English","amplitude-ios/3.7.0","ios 9.3.2","","iOS","New Jersey","3.3.2","3.3.3",NA,NA,"","false",3608,1,"true",1,"true"
"1398","V2964",5917324635,"","1851","50","4 hours","May 1st, 2016 (UTC)","Jul 20th, 2016 (UTC)","0","$0.00",5917324635,"CloudKit-76feac524953344cd1a9b1522ad9f91a6b71799eaeb9ee837352dcc911f7d8b7f4378b3d181419b2c34b54d280f4e7a4f46d3a4d562120d3df0d261fad85e65d","","Villahermosa","Mexico","Apple iPad","Apple iPad Air","","148.246.12.165","Spanish","amplitude-ios/3.8.2","ios 9.3.2","","iOS","Tabasco","3.3.2","3.5.1",5,NA,"","true",1597,40,"true",106,"false"
"1399","V2965",6909217114,"","153","29","20 minutes","Jun 5th, 2016 (UTC)","Jul 6th, 2016 (UTC)","0","$0.00",6909217114,"","Zain KW","Kuwait City","Kuwait","Apple iPhone","Apple iPhone 6","","178.161.45.221","English","amplitude-ios/3.8.1","ios 9.3.2","","iOS","Al Asimah","3.3.3","3.4.0",NA,NA,"","false",1433,0,"true",7,"false"
"1400","V2966",6079805678,"","270","13","23 minutes","May 9th, 2016 (UTC)","Jul 9th, 2016 (UTC)","0","$0.00",6079805678,"CloudKit-a439019c093af665a2b6bdb87234829543a85a938e6dda2cf3f2c208ae0ca96de8d8977ca3cf6e9c7d5baf0e60a0a3da1c8d5d5a4648eb789dd2cd4e5d600569","AT&T","Collingswood","United States","Apple iPhone","Apple iPhone 6s Plus","Philadelphia, PA","71.168.139.132","English","amplitude-ios/3.8.1","ios 9.3.2","","iOS","New Jersey","3.3.3","3.4.0",NA,NA,"","true",3645,0,"true",21,"true"
"1401","V2967",5932254296,"","645","21","43 minutes","May 3rd, 2016 (UTC)","Jul 18th, 2016 (UTC)","0","$0.00",5932254296,"CloudKit-734dd996d0c0075c8d961b860e85882d6537676efade35ba419ff1d94c6310856c76e932b3a4779b3ff94c397805a3cea03d792c52704f68dfa4cc34b7d4a48b","MegaFon","Elektrostal","Russia","Apple iPhone","Apple iPhone 5s","","178.219.176.124","Russian","amplitude-ios/3.8.2","ios 9.3.1","","iOS","Moscow Oblast","3.3.2","3.5.0",NA,NA,"","true",214,0,"true",12,"false"
"1402","V2968",6072154534,"7806843109","667","31","an hour","May 9th, 2016 (UTC)","Jul 25th, 2016 (UTC)","0","$0.00",6072154534,"CloudKit-74b280f2327e28010817418316c6b6861000ce86bd68b7b89f9cf076f1ffd4a22149b4e57dee2d9f5c7e8239ee97e76ec67bd92b1800c7b478da5e9cf08c9826","movistar","Cartago","Costa Rica","Apple iPhone","Apple iPhone 6s","","186.176.99.223","English","amplitude-ios/3.8.2","ios 9.3.3","","iOS","Provincia de Cartago","3.3.2","3.5.1",NA,NA,"","false",96,252,"true",11,"true"
"1403","V2969",5818438600,"","2731","35","3 hours","Apr 29th, 2016 (UTC)","Jul 18th, 2016 (UTC)","0","$0.00",5818438600,"CloudKit-b5663cdda39b820556621a5128a783cf2475932cc134f675a174861a2c34a422b10d7106ac514cfd4dea6a74a27452b6922c024324f76fdffad5ffed850ff515","AT&T","Gilbert","United States","Apple iPhone","Apple iPhone 6s Plus","Phoenix, AZ","68.2.57.187","English","amplitude-ios/3.8.2","ios 9.3.2","","iOS","Arizona","3.3.2","3.5.0",NA,NA,"","true",1705,0,"true",79,"false"
"1404","V2970",8082598279,"","2","1","a few seconds","Jul 14th, 2016 (UTC)","Jul 14th, 2016 (UTC)","0","$0.00",8082598279,"","AIS","Bangkok","Thailand","Apple iPhone","Apple iPhone 5","","125.24.72.145","Thai","amplitude-ios/3.8.1","ios 9.3.2","","iOS","Bangkok","3.4.0","3.4.0",NA,NA,"","false",0,0,"false",0,"false"
"1405","V2971",7558017819,"","69","1","2 minutes","Jun 26th, 2016 (UTC)","Jun 26th, 2016 (UTC)","0","$0.00",7558017819,"CloudKit-69bdd81a1ef926e69634dc98e0593c757eaf11e09fe1e3b33380f8fef9bc23277b7a9dd1b3b0ba83a9f4dda6916d3123a02e6a4a46a726407fd30a0714b83b7f","Turk Telekom","Ankara","Turkey","Apple iPhone","Apple iPhone 6s Plus","","24.133.246.156","Turkish","amplitude-ios/3.7.0","ios 9.3.2","","iOS","Ankara","3.3.3","3.3.3",NA,NA,"","false",1801,0,"true",1,"false"
